run,n_points,mean_absorbance,std_absorbance,max_wavelength,max_absorbance,n_peaks_found,peaks_wavelengths,peaks_values
Solution A,654,0.08034829748052649,0.08919716534167066,466.2,0.257947542859,91,382.1;440.7;451.8;457.7;462.8;464.5;466.2;468.8;472.2;484.9;501.9;610.2;614.7;617.6;623.5;627.2;630.1;631.6;634.6;636.0;644.1;645.6;647.1;649.3;652.3;655.9;659.6;663.3;669.3;672.3;673.9;675.4;681.5;685.3;689.9;691.5;695.3;699.9;708.3;709.8;713.7;718.3;719.8;723.7;729.1;730.6;732.1;733.7;735.2;739.1;745.2;746.7;750.6;752.1;753.7;756.7;758.3;765.2;769.1;773.7;777.5;782.1;787.5;789.8;796.0;802.1;804.4;807.5;812.1;816.0;821.4;822.9;824.4;826.0;830.6;832.2;833.9;839.0;840.7;847.5;854.3;858.5;862.8;867.0;868.7;875.5;878.9;884.0;887.4;889.1;895.1,0.132057908226;0.245018430383;0.251645868029;0.25628064769;0.257703435687;0.25778491464;0.257947542859;0.257370588571;0.255577118299;0.245645639156;0.220303058713;0.0371420712824;0.0357444969734;0.0334695890084;0.0310452965709;0.0291192917818;0.0281654730462;0.0280402626094;0.0276601444014;0.0277528297977;0.0261944915712;0.0259085888716;0.0263232234603;0.0264644842379;0.0260706396215;0.0272964978009;0.0268495636371;0.0263817388089;0.0256490213074;0.0243741778202;0.0239698841715;0.023496037306;0.019447593116;0.0180676318479;0.0157905710112;0.0156784173921;0.0138629297977;0.0131396726195;0.013840386158;0.0134268967233;0.0135447419015;0.0132918801595;0.0134052418399;0.013477949245;0.0141149036556;0.0146009295329;0.0148860571585;0.0145429003675;0.0146290304111;0.0151192603129;0.0149520793472;0.0148916190148;0.0137862670939;0.0137448657609;0.0134726272591;0.0113723608995;0.0113551406036;0.0100052741537;0.00888390893718;0.00870663822935;0.00721518072166;0.00716595136787;0.00602341623418;0.0053539751729;0.00709167420888;0.00607914759554;0.00600162747349;0.00515401684922;0.00690563954333;0.00486999743663;0.007376379183;0.00641583167175;0.00575165513394;0.00535716621838;0.00714167268929;0.00713616572449;0.00668204562322;0.00719043751179;0.00743415025858;0.00884708446155;0.00867395056697;0.00906745468087;0.00896349271723;0.0110444903538;0.0111425499294;0.0118110896242;0.0130256645942;0.0134108879194;0.0118375903272;0.0113912800352;0.0136680913668
Solution B,654,0.07197213839564205,0.0800824453407221,468.8,0.237740468943,79,382.1;388.9;440.7;451.8;453.5;458.6;462.8;464.5;466.2;468.8;472.2;476.4;578.7;600.7;602.1;608.8;614.7;618.3;619.8;623.5;625.0;627.2;631.6;635.3;651.5;655.9;660.4;663.3;664.8;667.8;699.9;703.7;706.0;709.8;723.7;725.2;730.6;732.1;738.3;740.6;742.1;743.7;745.2;751.4;779.1;780.6;787.5;789.1;791.4;792.9;796.0;800.6;802.1;803.7;808.3;812.1;818.3;819.8;821.4;822.9;824.4;826.0;829.8;832.2;833.9;841.5;843.2;847.5;852.6;858.5;861.9;867.0;872.1;875.5;879.8;888.3;892.5;894.2;897.6,0.137645235653;0.12460774691;0.222158217044;0.233526540848;0.233183718473;0.236569359518;0.236962459504;0.2376111483;0.237121084548;0.237740468943;0.236056018858;0.233062010687;0.0560882188894;0.04097736746;0.040857600159;0.0390124664193;0.036765976561;0.0353092847882;0.0350501430042;0.0343648660106;0.0344188797771;0.0341731204517;0.0340703502782;0.0346309433819;0.0441417943658;0.0468899687812;0.0494480339187;0.0498071258094;0.0502213368201;0.0494995521097;0.00998917210899;0.00954324416267;0.00967689621984;0.00926591748679;0.0142933699118;0.0142373214494;0.0179028311906;0.0183114196891;0.0201097807064;0.0201767452897;0.0204591050231;0.0212147351504;0.0208673748339;0.0195768237444;0.00234872737469;0.00236977902735;-0.000110367616895;4.44064119682e-05;-0.000628734763631;-0.000684420577522;9.20261919382e-05;-0.00120047826835;-0.00117554900751;-0.000908380809828;-0.0015410155442;-0.000612316819861;-0.00171189084831;-0.00124565237965;-0.000972837514198;-0.00135176910401;-0.00113468758169;-0.00100270579335;-0.000493163428191;-0.00126605813157;-0.00142374098311;-0.00127582929417;-0.00180464371079;-0.000668953617734;0.000193046405049;-0.00110997629226;-0.00149049439993;2.63056638339e-05;-0.0016399744056;-0.000226572584793;0.000854126504223;0.000526469780113;-0.000695761830252;-0.000777887628423;0.000242176564628
Solution C,654,0.0519279004002143,0.057217215984206704,457.7,0.167956780187,93,381.2;401.6;406.7;440.7;446.7;450.1;451.8;453.5;455.2;457.7;459.4;462.8;466.2;468.8;496.0;528.6;593.3;599.2;601.4;602.9;604.3;608.8;613.2;614.7;617.6;621.3;626.5;628.7;634.6;638.2;639.7;641.2;646.4;649.3;652.3;655.9;660.4;664.1;667.8;672.3;689.9;699.9;703.7;709.8;715.2;720.6;724.4;730.6;732.1;737.5;739.8;745.2;750.6;753.7;759.1;774.4;781.4;786.7;789.8;791.4;792.9;796.0;798.3;799.8;805.2;809.1;812.1;816.0;821.4;822.9;824.4;826.0;829.8;831.4;833.0;834.7;839.0;840.7;845.8;847.5;853.4;858.5;863.6;868.7;873.0;875.5;879.8;881.5;883.2;889.1;893.4;895.1;896.8,0.0912161790466;0.128043435851;0.129285430188;0.163445533643;0.165015053653;0.166687575981;0.16670654142;0.167041148365;0.16713391439;0.167956780187;0.167803097064;0.167006113264;0.166090670225;0.166140357394;0.142950650303;0.100520036592;0.0291715253875;0.024187794737;0.0244156234678;0.02359495262;0.0231319875161;0.0221533276847;0.0202401896467;0.0205173028873;0.0197391807666;0.0191015283548;0.0187902305639;0.0186073701806;0.0184560499416;0.0190409744484;0.0190342335873;0.0191762692015;0.0205038680943;0.0216213053112;0.0225248278183;0.0243497060059;0.0249947921996;0.0247508668603;0.0248502903324;0.0230925680683;0.0108724898553;0.00773790587594;0.00796950930617;0.00772146571789;0.00805748642675;0.00906683172404;0.0095707749629;0.0113177311716;0.011462573162;0.0127978577438;0.0131707649672;0.0138113902088;0.0131476508965;0.0126643949013;0.0107045302834;0.00677180149071;0.00568329055011;0.00418231527878;0.00404069531718;0.00366092621134;0.00408791494278;0.0046706951867;0.00362947401117;0.00374559826649;0.00491718995551;0.00472583366479;0.00601524946161;0.00504645600928;0.00491225369058;0.00422847888212;0.00417499361938;0.0037420749765;0.00530159315847;0.00482133852077;0.00429581111787;0.00412279070195;0.00438916746344;0.00425885728032;0.00487271009156;0.00465716722794;0.00591036302548;0.00586577714706;0.00590439406852;0.0068372590602;0.00863406740189;0.00722041938037;0.00976798980124;0.00974229050989;0.00934307866866;0.0106522156185;0.0104330189363;0.0111583752876;0.0112413176856
Solution D,654,0.03518402738204754,0.04449867830221124,427.1,0.129664510862,118,422.9;427.1;431.4;433.1;437.3;439.0;446.7;450.1;456.9;463.7;472.2;480.7;507.9;528.6;541.9;545.8;559.1;573.2;574.8;580.3;583.4;590.3;601.4;604.3;608.0;610.2;613.2;614.7;617.6;619.1;620.6;623.5;627.2;630.1;631.6;633.1;635.3;636.8;639.7;645.6;649.3;652.3;655.9;660.4;664.1;666.3;667.8;669.3;670.8;672.3;673.9;676.9;683.8;686.9;690.7;693.7;696.8;698.3;700.6;705.2;709.8;711.4;712.9;716.7;721.4;723.7;728.3;730.6;732.1;733.7;735.2;736.7;738.3;742.9;746.7;748.3;749.8;752.1;754.4;757.5;759.1;765.2;769.1;772.9;777.5;781.4;787.5;789.8;791.4;796.7;799.8;803.7;806.7;810.6;812.1;818.3;819.8;822.9;824.4;826.0;829.8;835.6;841.5;847.5;851.7;853.4;857.7;861.9;867.0;873.8;875.5;881.5;885.7;889.1;891.7;893.4;895.1;897.6,0.127837770284;0.129664510862;0.129333585823;0.12873771602;0.12796498057;0.12795248293;0.125689501106;0.126126101653;0.123482515622;0.118554631181;0.114459568458;0.110810375197;0.0824332427052;0.0678045162602;0.0539892153155;0.0498297245212;0.038720400887;0.0273510708421;0.026666631201;0.0231556157516;0.0227948323816;0.0186625490242;0.012649629213;0.0117537549662;0.0100490129185;0.00962312152742;0.00850362033382;0.00826954388924;0.00666022844511;0.00668206290684;0.00655135394016;0.00721723286817;0.00722431777904;0.00636631838175;0.00592586966108;0.00586564335752;0.00609931895282;0.00598225153522;0.00546681766461;0.00569809044426;0.00594307016857;0.00583774072963;0.00717573193522;0.00741066687818;0.00660244410582;0.00650807239663;0.00669624359962;0.0066318904467;0.00644368356984;0.00618340239527;0.00618992623983;0.00575874332774;0.00434716462248;0.00370741924728;0.00379094565822;0.00238913628862;0.00138267824339;0.00134475372453;0.0022926278399;0.00271451447199;0.0017914741437;0.0018965417046;0.00184380326296;0.00211921682434;0.00229674277373;0.00235728488933;0.00283074397822;0.00288469084444;0.00286549649061;0.00264383096301;0.00296686279077;0.00328401931338;0.00321775637647;0.00311531328831;0.00245595723606;0.00251117467359;0.00238648506198;0.00233904261555;0.00223672942195;0.00131808984232;0.00175850864567;0.00126176584241;0.00139359458982;0.00142386456653;0.000718939143604;0.00109658789525;0.000791205840262;-5.72395860927e-05;-0.000511442973396;0.00162205702858;0.000815284464384;0.000419902846906;0.000535511942783;0.000609078886972;0.000976748472234;0.000329307895542;-3.66731519486e-05;0.000982554243959;0.000671367304419;0.000799224455122;0.00321520838918;0.0020660555154;0.00363735698033;0.00489309225684;0.00664290687406;0.00708851010505;0.0075822405544;0.00841261469795;0.0106952829483;0.0115564059595;0.0110380947296;0.0128455621597;0.0130270914194;0.0108017633017;0.0111541460485;0.0109336042824;0.0112915285865;0.0106924290362
Solution E,654,0.04098716160847546,0.027952424865183886,465.4,0.097536726273,129,381.2;407.6;421.2;429.7;433.1;439.9;448.4;451.8;453.5;455.2;457.7;461.1;465.4;467.9;472.2;478.1;480.7;484.9;492.6;496.0;504.5;507.9;513.7;519.2;520.8;522.3;525.5;527.0;530.9;535.6;546.6;557.6;565.4;568.5;581.9;589.6;597.7;599.2;601.4;608.8;613.2;614.7;617.6;619.8;623.5;627.2;630.1;631.6;635.3;638.2;643.4;647.1;650.8;652.3;655.9;660.4;664.8;669.3;673.9;675.4;679.2;683.0;686.9;689.9;691.5;693.0;696.8;699.9;702.2;706.8;712.1;718.3;723.7;730.6;732.1;733.7;737.5;742.1;743.7;745.2;747.5;749.1;750.6;753.7;759.1;760.6;765.2;769.1;770.6;772.1;776.0;779.1;780.6;783.7;787.5;792.9;795.2;800.6;802.1;807.5;809.1;810.6;812.1;816.0;818.3;819.8;822.9;824.4;830.6;832.2;833.9;840.7;843.2;847.5;851.7;856.0;859.4;862.8;865.3;867.0;868.7;873.0;878.1;879.8;881.5;883.2;884.9;887.4;895.1,0.0381356573574;0.0757093889226;0.0856140128423;0.0891495964698;0.0902808914631;0.0912629617291;0.0929478870982;0.0940982788528;0.094855706555;0.0944577842651;0.0963400959592;0.0972870741958;0.097536726273;0.0973558642228;0.0964505169973;0.0945230467668;0.0939400641882;0.093035670348;0.0884996527778;0.0861657933964;0.0812367779201;0.0798248506877;0.0778695990705;0.0761702519592;0.0752589199722;0.0750278107674;0.0737988725782;0.0736564668632;0.0717657211067;0.0679859528166;0.0595826142414;0.0519655387971;0.0476383294204;0.0451516384991;0.0380174227566;0.034408036213;0.0297527497883;0.0295668721552;0.0291236376013;0.0269862450897;0.0256905794035;0.0262927334274;0.0250562338315;0.0251938710387;0.0252098265715;0.024728993399;0.0244055909147;0.0248274790475;0.0245496108504;0.0244902808369;0.0236520991795;0.0238342210103;0.0240363993667;0.023570100931;0.0256564573741;0.0252097342456;0.0242395396276;0.0250178025857;0.024788083688;0.0240659359205;0.0246458299177;0.0238902534587;0.0237000138371;0.0236606536767;0.0231305313824;0.0229697334092;0.0218707571898;0.0227825446629;0.0221282577885;0.0233965131007;0.0231427143261;0.0233105333649;0.0228954920868;0.0234791144377;0.023086929788;0.0233364974365;0.0236740450607;0.0227897781298;0.0229847231233;0.0224043726456;0.0223134188868;0.0221219156043;0.0222179067295;0.0221597041353;0.0214606982942;0.0215472681929;0.0223685922935;0.0218009383514;0.0219711421798;0.0220243176343;0.0214228535266;0.0217030193368;0.0216406798611;0.0199065711042;0.0204751114496;0.0203935824376;0.0206528644388;0.019599250237;0.0198976461001;0.0189305381013;0.0189189919036;0.0188926166713;0.0186753347053;0.0167617918204;0.0173808438019;0.016833176523;0.017884501603;0.0175197791294;0.0175303582558;0.0177170357081;0.0176047007959;0.0169395977506;0.0170189391018;0.0175143540185;0.0175772517211;0.0165369923998;0.015641566128;0.0158859043765;0.0160390311757;0.0161494819843;0.0159529589412;0.0148101662339;0.0150148985851;0.0149739205289;0.0146096031647;0.0134741766522;0.0136817629776;0.0141822287961;0.0119012446521
Unknown Angus,654,0.426881805238877,0.5274312104301848,456.9,1.4655251236,76,382.9;384.6;444.1;446.7;450.9;456.9;462.0;466.2;470.5;478.1;484.9;488.3;496.0;654.5;663.3;669.3;673.9;678.5;683.0;691.5;696.8;700.6;703.7;709.8;713.7;717.5;720.6;723.7;728.3;730.6;732.1;733.7;735.2;737.5;743.7;747.5;750.6;753.7;755.2;756.7;759.8;765.2;772.9;777.5;779.1;781.4;787.5;795.2;799.8;802.9;809.1;810.6;812.1;821.4;824.4;826.0;827.5;829.8;831.4;833.0;834.7;840.7;848.3;850.0;852.6;859.4;862.8;867.0;871.3;875.5;877.2;881.5;886.6;888.3;893.4;896.8,0.756218524885;0.746027301018;1.42571643373;1.43499009779;1.45190268058;1.4655251236;1.45905845773;1.45001373838;1.45520387422;1.42452672245;1.40160296445;1.37160278939;1.32260510099;0.0563778529065;0.0475006882025;0.0433047238644;0.0393964429383;0.0375397016488;0.034507834548;0.0314176777094;0.0280950100115;0.0285605637787;0.0277959643346;0.0266355181683;0.0265399810663;0.025003408162;0.0245785853517;0.0244785365763;0.0242768558611;0.0237332409998;0.0237438466982;0.0233524060618;0.0233244716165;0.023604887354;0.0227862556505;0.0213731182248;0.0215648765638;0.0205663630592;0.0202915015415;0.0201907137831;0.020902807349;0.0210162793336;0.020964206742;0.0194768183846;0.0188757518902;0.0198150795426;0.0191914805094;0.0186252586338;0.0174709181294;0.0180765588314;0.0163423789567;0.0161440296646;0.016893561382;0.0164357231925;0.0153245045869;0.0145440949589;0.0149271276555;0.0154313249004;0.015316239856;0.0147997962554;0.0147868218411;0.0154860413953;0.0146951989701;0.0152710015531;0.0167061793247;0.0151451260256;0.0168018879401;0.0169527364892;0.0152212355679;0.0176397766833;0.0170471990558;0.0179531645622;0.0178745774909;0.0172561000542;0.019355741072;0.0183513850671
Unknown Eric,654,0.7880183265863931,0.8641437116377968,428.0,2.08465395733,99,398.2;404.2;405.9;407.6;409.3;412.7;416.1;417.8;419.5;423.7;428.0;433.1;435.6;439.9;442.4;444.1;450.1;453.5;455.2;456.9;458.6;460.3;463.7;467.1;468.8;470.5;472.2;478.1;482.4;484.1;490.9;495.1;496.8;498.5;500.2;501.9;507.9;509.6;512.9;516.1;518.4;523.1;524.7;527.8;530.2;533.3;538.0;539.6;543.5;545.0;546.6;549.7;552.9;699.9;716.0;722.9;728.3;733.7;737.5;743.7;748.3;750.6;759.1;765.2;772.9;776.0;777.5;779.1;782.9;787.5;789.8;796.7;800.6;804.4;809.1;812.1;818.3;819.8;821.4;825.2;830.6;835.6;837.3;839.8;843.2;845.8;847.5;853.4;857.7;859.4;861.1;867.9;873.0;879.8;881.5;885.7;890.8;895.1;896.8,1.92071624224;2.00098795495;1.99982555195;2.00790541498;2.01250396335;2.03786441316;2.05350022352;2.05236149713;2.05563243747;2.08169853791;2.08465395733;2.06070258081;2.04136582904;2.03817813826;2.00484169682;2.01460982136;1.99417067603;1.92544442983;1.92993613234;1.96548784664;1.9261054772;1.91171483377;1.91264030309;1.89725130752;1.89998581356;1.9075502227;1.91798032918;1.91383574909;1.89455929123;1.91707663713;1.92264977238;1.9448942961;1.94139023949;1.95971661944;1.96734741023;1.95628406079;2.00041884009;1.99219188692;1.98513209021;1.97092766774;2.01509838662;1.97535284727;1.97245319881;1.96982288339;1.97011223568;1.95553893438;1.94548756021;1.94458671011;1.93182022132;1.908524727;1.90228026446;1.91199677394;1.86615689575;0.0419420664438;0.0299718683164;0.0269980212266;0.0250976910109;0.0222241797166;0.020649299367;0.0195711424597;0.0179501446989;0.0182140060045;0.0166874951871;0.016292513495;0.0152575328329;0.014108806266;0.0138146358424;0.0137354783876;0.0144036880156;0.013930136637;0.0137038879089;0.0132110873359;0.0132196194035;0.0129125739569;0.0110359273348;0.0125368467577;0.0111740274109;0.0123373561843;0.0124056394512;0.0102431863379;0.0119897332705;0.0109301106225;0.0104378212162;0.0113144835963;0.0107349336492;0.0104480454854;0.0102301621956;0.0125005555311;0.0122985650851;0.0125378648941;0.0113839843345;0.013122297233;0.0131448376083;0.0141836850353;0.013712691062;0.0156934752568;0.0148482036189;0.0167370989375;0.0165916826992
Unknown Khoa,654,0.4711035219460403,0.5689183089402641,467.9,1.5672450437,83,386.3;442.4;444.1;450.1;451.8;453.5;457.7;467.9;472.2;477.3;479.8;481.5;484.9;488.3;491.7;494.3;654.5;668.5;676.9;683.0;696.8;699.9;705.2;706.8;709.8;712.9;717.5;719.8;721.4;722.9;728.3;730.6;732.1;735.2;738.3;743.7;747.5;750.6;753.7;756.0;759.8;766.0;767.5;769.1;774.4;778.3;781.4;784.4;787.5;789.1;792.9;796.0;798.3;799.8;801.4;805.2;808.3;812.9;816.0;819.8;821.4;826.0;829.1;832.2;833.9;835.6;839.8;847.5;850.9;858.5;863.6;867.0;868.7;873.0;875.5;877.2;879.8;885.7;889.1;890.8;892.5;894.2;896.8,0.765628911814;1.47719661687;1.48173703502;1.52923491383;1.52741096122;1.53334199489;1.54996901342;1.5672450437;1.55013178512;1.55557739042;1.53305846714;1.5352368964;1.53944831739;1.52542525975;1.50020331795;1.49433245768;0.0643648266292;0.0479589955218;0.0410656186881;0.0369994620375;0.029989691079;0.0299148635813;0.029417360677;0.0291269196295;0.0278110707925;0.0275747555842;0.0265366530094;0.0256176750119;0.0257834183092;0.0258348876992;0.0243584430324;0.0242543961119;0.0245944226156;0.023358459819;0.0237029409916;0.0234818129286;0.0221091332371;0.0225601257433;0.0219441374564;0.0210166959851;0.0221423244336;0.0221777563198;0.0219938934079;0.0220331713924;0.0215840867748;0.0202883614655;0.0210731091034;0.0200330709047;0.0206657028988;0.020873323397;0.0194590328914;0.0206362275614;0.0201542948384;0.0205154641778;0.0199680856858;0.0213124439286;0.0202624707342;0.0206026292358;0.0196656567541;0.0205972170053;0.0204467175306;0.0199871142009;0.0203260736262;0.0198646336463;0.0198427939225;0.0192204601667;0.0208719246017;0.0196940107385;0.0214024470903;0.0205524338627;0.0202249754592;0.0220525287581;0.0221333069916;0.0232654497735;0.022101724009;0.0217335163638;0.0234976172282;0.0241379285009;0.0233789030949;0.0230078973968;0.0235051561277;0.0235628676718;0.024298611519
Unknown Liad,654,0.6229713239580199,0.35678371900182826,399.9,1.74929295449,62,399.9;403.3;607.3;615.4;616.9;623.5;633.8;635.3;640.5;643.4;646.4;655.9;660.4;664.8;666.3;669.3;673.9;678.5;686.9;693.0;700.6;714.4;717.5;720.6;723.7;727.5;732.1;733.7;737.5;740.6;742.1;744.4;750.6;755.2;759.1;760.6;765.2;766.7;772.9;780.6;784.4;789.1;796.0;803.7;812.1;818.3;821.4;824.4;829.8;839.0;847.5;849.2;850.9;857.7;859.4;862.8;865.3;871.3;873.8;875.5;877.2;891.7,1.74929295449;1.73371698694;0.402034828659;0.393065219907;0.392526197147;0.38622767053;0.384320076898;0.383948203105;0.382905774228;0.380625450615;0.382059255261;0.387339841363;0.386574455599;0.388505464555;0.38736507497;0.391418408728;0.392640315578;0.397793881786;0.401677004238;0.406302578244;0.412342592403;0.422787653458;0.424909033572;0.425182368561;0.425346717588;0.424055857568;0.427652245894;0.427316779859;0.430221466809;0.430576427915;0.430829689345;0.431877035698;0.434161603004;0.431516353139;0.433709441597;0.433801785543;0.435861085548;0.435906840567;0.438625671066;0.433615353373;0.431342512027;0.431032793899;0.430891520114;0.43025869498;0.422487085801;0.416058149621;0.417203033292;0.416030284629;0.414690263001;0.411271184762;0.404483380749;0.403953609686;0.403922951249;0.39918903751;0.398722028453;0.399378365695;0.400046073092;0.39430225484;0.39391841977;0.395136997427;0.39321596141;0.368981475926
Unknown Mohammad,654,0.1642967155180399,0.21334488402687307,470.5,0.597623451361,81,381.2;453.5;458.6;462.8;464.5;466.2;468.8;470.5;475.6;484.9;607.3;623.5;646.4;655.2;660.4;663.3;666.3;668.5;673.9;678.5;684.6;688.4;689.9;696.8;699.9;702.9;705.2;711.4;713.7;715.2;716.7;718.3;719.8;723.7;727.5;730.6;732.1;733.7;737.5;743.7;748.3;750.6;759.1;760.6;762.1;765.2;768.3;773.7;782.1;787.5;789.1;791.4;792.9;796.7;800.6;802.1;803.7;808.3;812.1;816.0;818.3;821.4;830.6;835.6;839.8;844.1;845.8;850.0;852.6;858.5;862.8;864.5;866.2;867.9;873.8;875.5;879.8;883.2;890.0;893.4;896.8,0.282328296911;0.583400928638;0.59082820117;0.594394275709;0.594647368446;0.595653560258;0.597237364737;0.597623451361;0.593220340315;0.581803722253;0.0671936389497;0.0420992457825;0.0213574771563;0.0168029452913;0.013524954727;0.0115325565994;0.00991927279652;0.0104645855813;0.00777674036971;0.00792119927967;0.00711998041619;0.00596497037993;0.00648412378343;0.00465785817603;0.00557488050669;0.0045592429877;0.0049043998382;0.00502368317105;0.00445910052666;0.0045841126173;0.00415251126847;0.00430590744637;0.00418627294882;0.00382401326553;0.00316438121147;0.00186541849207;0.00137078017776;0.00137681026973;0.00226099154539;0.00196009696978;0.000509091529238;0.000900546422001;-0.000204568652379;-0.000435707796957;-0.000592187116546;-0.000388761686105;-0.00104444853532;-0.000130069142733;-0.000920944641126;-0.00102912675493;-0.00104045506435;-0.00164486964453;-0.00139259136746;-0.000386857924235;-0.000550919083783;-0.000314509031056;-0.000179995348101;-0.000740794970544;0.000428843350316;-0.000876945033907;-0.000905330908539;0.000931734931362;-0.000170488167958;-0.00158708462619;-0.00110208767303;-0.00188581546731;-0.0017726276404;-2.52375106156e-05;-0.000137622216645;-0.00174418460855;-0.00130350193744;-0.00181363803378;-0.00156537725635;-0.00184451124177;-0.000919318182761;-0.00189215322041;-0.0034405570741;-0.00364440102667;-0.00657635545764;-0.00576515543898;-0.00620930340247
Unknown Wilson,654,0.8439632297578917,0.8835794878848798,428.0,2.10235370235,93,399.9;401.6;404.2;406.7;410.1;413.5;415.2;416.9;418.6;420.3;422.9;428.0;432.2;433.9;435.6;439.0;446.7;450.1;455.2;456.9;462.0;466.2;471.3;478.1;483.2;488.3;490.0;491.7;495.1;500.2;502.8;507.9;509.6;511.3;513.7;518.4;521.5;526.2;530.2;531.7;535.6;537.2;541.1;549.7;553.7;559.1;560.7;564.6;566.2;711.4;727.5;730.6;743.7;745.2;759.8;765.2;769.8;771.4;772.9;774.4;781.4;786.7;789.8;796.7;800.6;802.1;803.7;809.1;812.9;814.4;816.0;817.5;819.8;821.4;822.9;829.1;832.2;833.9;839.0;840.7;852.6;856.0;858.5;861.9;867.0;873.8;875.5;881.5;884.9;888.3;893.4;895.1;896.8,1.9818795738;1.99139922794;2.00898824111;2.01544054567;2.02234632861;2.04560040503;2.04908574596;2.03834200677;2.06881442478;2.06968835028;2.09084278911;2.10235370235;2.06486451414;2.07063909469;2.08627977254;2.07688736292;1.97590177529;1.97853009889;1.97716924183;2.04510999853;1.9396373446;1.90755371172;1.9381972826;1.92407348463;1.93468309864;1.95415359961;1.94881430455;1.95263737823;1.95694270126;1.97781484267;2.00692970958;2.03066665008;2.02555928208;2.01829537618;2.02172093285;2.02029606559;1.99899139379;2.02237780038;2.00893864614;2.01197285821;2.00981604975;2.01451873344;2.00823239487;2.00873575402;2.00081742616;1.94188621419;1.93599271855;1.89998689333;1.89970252008;0.0452991658514;0.0329926365249;0.0314082678082;0.0250569092067;0.0247099606208;0.0203390105156;0.0199709026149;0.0178349258951;0.0178398970646;0.0179270056322;0.0178939191464;0.016993703972;0.0166840324754;0.016101568149;0.0164309359635;0.0153201699611;0.0153589257051;0.0155534869728;0.0141947360544;0.0157621906379;0.0151517877985;0.0146631181057;0.0137128218755;0.0146724149514;0.0154700969208;0.0154058444294;0.0163152359008;0.0155261910442;0.0152893795019;0.016499746698;0.0170330481933;0.0194752892109;0.0178259779214;0.0179986494426;0.0186136575394;0.0199689561166;0.0215823476553;0.0212152661021;0.0220537508307;0.0231219241799;0.0228536273979;0.0232921541058;0.0238576041928;0.0238187221365
